,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,"(1.8046875, 2.3203125)","(1.82421875, 2.75390625)","(1.43359375, 2.75)","(1.1484375, 3.2734375)","(1.06640625, 3.8203125)","(2.19921875, 2.76953125)","(2.53125, 3.2734375)","(2.6484375, 3.8515625)","(1.62109375, 3.58203125)","(1.3046875, 3.51953125)","(1.49609375, 4.296875)","(2.0390625, 3.57421875)","(2.39453125, 3.5625)","(2.171875, 4.3046875)","(1.734375, 2.23828125)","(1.890625, 2.2421875)","(1.6328125, 2.2578125)","(2.01953125, 2.2734375)"
1,"(1.8046875, 2.3203125)","(1.82421875, 2.75390625)","(1.43359375, 2.75)","(1.1484375, 3.2734375)","(1.0625, 3.8203125)","(2.19921875, 2.76953125)","(2.53125, 3.2734375)","(2.6484375, 3.8515625)","(1.62109375, 3.58203125)","(1.3046875, 3.51953125)","(1.4921875, 4.296875)","(2.0390625, 3.57421875)","(2.39453125, 3.5625)","(2.171875, 4.3046875)","(1.734375, 2.23828125)","(1.890625, 2.2421875)","(1.6328125, 2.2578125)","(2.01953125, 2.2734375)"
2,"(1.80859375, 2.30078125)","(1.82421875, 2.734375)","(1.4375, 2.7265625)","(1.15625, 3.25390625)","(1.06640625, 3.8125)","(2.1953125, 2.75)","(2.53125, 3.27734375)","(2.64453125, 3.84375)","(1.625, 3.5546875)","(1.3125, 3.5)","(1.49609375, 4.29296875)","(2.04296875, 3.546875)","(2.38671875, 3.546875)","(2.171875, 4.30078125)","(1.73828125, 2.21875)","(1.890625, 2.22265625)","(1.63671875, 2.234375)","(2.0234375, 2.25)"
3,"(1.80859375, 2.30078125)","(1.82421875, 2.734375)","(1.4375, 2.7265625)","(1.15625, 3.25390625)","(1.06640625, 3.8046875)","(2.1953125, 2.75)","(2.53125, 3.27734375)","(2.64453125, 3.83984375)","(1.62109375, 3.5546875)","(1.30859375, 3.51171875)","(1.4921875, 4.296875)","(2.04296875, 3.546875)","(2.3828125, 3.54296875)","(2.17578125, 4.296875)","(1.73828125, 2.21875)","(1.890625, 2.22265625)","(1.63671875, 2.23828125)","(2.0234375, 2.25)"
4,"(1.8046875, 2.27734375)","(1.82421875, 2.71484375)","(1.4375, 2.70703125)","(1.16015625, 3.24609375)","(1.06640625, 3.79296875)","(2.1875, 2.734375)","(2.51953125, 3.2734375)","(2.640625, 3.81640625)","(1.61328125, 3.5234375)","(1.3046875, 3.51953125)","(1.49609375, 4.296875)","(2.02734375, 3.515625)","(2.3828125, 3.5546875)","(2.17578125, 4.29296875)","(1.734375, 2.19140625)","(1.890625, 2.1953125)","(1.6328125, 2.21875)","(2.0234375, 2.234375)"
5,"(1.8046875, 2.27734375)","(1.82421875, 2.71484375)","(1.4375, 2.70703125)","(1.16015625, 3.24609375)","(1.06640625, 3.79296875)","(2.1875, 2.734375)","(2.51953125, 3.2734375)","(2.640625, 3.81640625)","(1.6171875, 3.5234375)","(1.3046875, 3.51953125)","(1.49609375, 4.296875)","(2.02734375, 3.515625)","(2.3828125, 3.55078125)","(2.17578125, 4.29296875)","(1.734375, 2.19140625)","(1.890625, 2.1953125)","(1.6328125, 2.21875)","(2.0234375, 2.234375)"
6,"(1.80078125, 2.2578125)","(1.8203125, 2.6953125)","(1.43359375, 2.68359375)","(1.171875, 3.23046875)","(1.06640625, 3.78125)","(2.18359375, 2.71484375)","(2.515625, 3.2734375)","(2.6328125, 3.8046875)","(1.61328125, 3.47265625)","(1.30859375, 3.5234375)","(1.49609375, 4.296875)","(2.02734375, 3.46875)","(2.3671875, 3.54296875)","(2.17578125, 4.296875)","(1.73046875, 2.17578125)","(1.88671875, 2.1796875)","(1.6328125, 2.19921875)","(2.01953125, 2.21875)"
7,"(1.80078125, 2.2578125)","(1.8203125, 2.6953125)","(1.43359375, 2.68359375)","(1.171875, 3.23046875)","(1.0625, 3.78125)","(2.18359375, 2.71484375)","(2.515625, 3.2734375)","(2.6328125, 3.8046875)","(1.61328125, 3.47265625)","(1.30859375, 3.5234375)","(1.49609375, 4.296875)","(2.02734375, 3.46875)","(2.3671875, 3.54296875)","(2.17578125, 4.296875)","(1.73046875, 2.17578125)","(1.88671875, 2.1796875)","(1.6328125, 2.19921875)","(2.01953125, 2.21875)"
8,"(1.80078125, 2.2578125)","(1.8203125, 2.6953125)","(1.43359375, 2.68359375)","(1.17578125, 3.2265625)","(1.0625, 3.78515625)","(2.18359375, 2.71484375)","(2.515625, 3.27734375)","(2.6328125, 3.8046875)","(1.609375, 3.47265625)","(1.30859375, 3.5234375)","(1.49609375, 4.296875)","(2.02734375, 3.46875)","(2.3671875, 3.54296875)","(2.17578125, 4.29296875)","(1.73046875, 2.17578125)","(1.88671875, 2.1796875)","(1.6328125, 2.19921875)","(2.01953125, 2.21875)"
9,"(1.80078125, 2.2578125)","(1.8203125, 2.6953125)","(1.43359375, 2.68359375)","(1.17578125, 3.2265625)","(1.0625, 3.78125)","(2.18359375, 2.71484375)","(2.515625, 3.2734375)","(2.6328125, 3.8046875)","(1.609375, 3.47265625)","(1.30859375, 3.5234375)","(1.49609375, 4.296875)","(2.02734375, 3.46875)","(2.3671875, 3.54296875)","(2.17578125, 4.29296875)","(1.73046875, 2.17578125)","(1.88671875, 2.1796875)","(1.6328125, 2.19921875)","(2.01953125, 2.21875)"
10,"(1.796875, 2.25)","(1.8203125, 2.67578125)","(1.43359375, 2.66796875)","(1.1796875, 3.19921875)","(1.06640625, 3.7578125)","(2.1875, 2.6953125)","(2.51171875, 3.25)","(2.6328125, 3.77734375)","(1.61328125, 3.42578125)","(1.31640625, 3.515625)","(1.49609375, 4.29296875)","(2.03515625, 3.42578125)","(2.359375, 3.52734375)","(2.17578125, 4.2890625)","(1.7265625, 2.16796875)","(1.8828125, 2.171875)","(1.6328125, 2.18359375)","(2.01953125, 2.20703125)"
